Stethoscope	ECG
-0.0747681	-0.0143433
-0.078125	-0.0143433
-0.0622559	-0.0131226
-0.0210571	-0.0119019
0.0289917	-0.0115967
0.0762939	-0.0119019
0.0997925	-0.012207
0.0964355	-0.012207
0.067749	-0.0125122
0.0152588	-0.0140381
-0.0271606	-0.0158691
-0.0524902	-0.017395
-0.0549316	-0.0180054
-0.0469971	-0.0170898
-0.0424194	-0.0149536
-0.0256348	-0.0140381
-0.0119019	-0.0164795
0.00457764	-0.0201416
0.0302124	-0.0216675
0.0494385	-0.0213623
0.0497437	-0.0210571
0.0491333	-0.0210571
0.0390625	-0.020752
0.0100708	-0.0204468
-0.00854492	-0.020752
-0.0250244	-0.0216675
-0.0466919	-0.0228882
-0.0442505	-0.0234985
-0.0592041	-0.0244141
-0.0674438	-0.0253296
-0.0311279	-0.0259399
0.00762939	-0.0268555
0.0320435	-0.027771
0.0680542	-0.027771
0.0610352	-0.0259399
0.0601196	-0.0228882
0.0692749	-0.0192261
0.0219727	-0.0161743
-0.0177002	-0.015564
-0.0616455	-0.0170898
-0.110168	-0.0192261
-0.0912476	-0.0216675
-0.0579834	-0.0241089
-0.0262451	-0.0274658
0.0463867	-0.0308228
0.0769043	-0.0332642
0.0753784	-0.0344849
0.0848389	-0.0344849
0.0344849	-0.0326538
-0.0100708	-0.0289917
-0.0271606	-0.0247192
-0.0653076	-0.0219727
