L I	L III	L II(Calc.)
0.0183105	0.0100708	0.0283813
0.010376	0.00488281	0.0152588
0.00183105	0.000915527	0.00274658
-0.00640869	-0.00152588	-0.00793457
-0.0137329	-0.00305176	-0.0167847
-0.0204468	-0.00427246	-0.0247192
-0.0265503	-0.00457764	-0.0311279
-0.0323486	-0.00427246	-0.0366211
-0.0372314	-0.00427246	-0.0415039
-0.0418091	-0.00427246	-0.0460815
-0.0466919	-0.00427246	-0.0509644
-0.0518799	-0.00457764	-0.0564575
-0.0564575	-0.00549316	-0.0619507
-0.06073	-0.00793457	-0.0686646
-0.0634766	-0.0112915	-0.0747681
-0.0653076	-0.0158691	-0.0811768
-0.0665283	-0.020752	-0.0872803
-0.0671387	-0.0250244	-0.0921631
-0.0674438	-0.0289917	-0.0964355
-0.0683594	-0.0326538	-0.101013
-0.0701904	-0.0341797	-0.10437
-0.072937	-0.0344849	-0.107422
-0.0756836	-0.0338745	-0.109558
-0.078125	-0.032959	-0.111084
-0.0802612	-0.0317383	-0.112
-0.0827026	-0.0311279	-0.113831
-0.085144	-0.0308228	-0.115967
-0.0869751	-0.0308228	-0.117798
-0.0869751	-0.0308228	-0.117798
-0.083313	-0.0311279	-0.114441
-0.078125	-0.0323486	-0.110474
-0.0747681	-0.0338745	-0.108643
-0.0720215	-0.0366211	-0.108643
-0.0695801	-0.0408936	-0.110474
-0.0674438	-0.0479126	-0.115356
-0.0665283	-0.0579834	-0.124512
-0.0695801	-0.0701904	-0.139771
-0.0750732	-0.0839233	-0.158997
-0.0799561	-0.0967407	-0.176697
-0.0823975	-0.106201	-0.188599
-0.0808716	-0.109863	-0.190735
-0.0723267	-0.107117	-0.179443
-0.0531006	-0.0982666	-0.151367
-0.0222778	-0.0814819	-0.10376
0.0204468	-0.0549316	-0.0344849
0.0762939	-0.0189209	0.057373
0.144653	0.0241089	0.168762
0.225525	0.0717163	0.297241
0.316162	0.122986	0.439148
0.413208	0.177917	0.591125
0.510254	0.232544	0.742798
0.59845	0.281067	0.879517
0.672302	0.319824	0.992126
0.729065	0.345459	1.07452
0.764465	0.355835	1.1203
0.775146	0.349121	1.12427
0.758362	0.325012	1.08337
0.713501	0.284424	0.997925
0.639648	0.232849	0.872498
0.540161	0.174255	0.714417
0.421448	0.111389	0.532837
0.293884	0.0482178	0.342102
0.167542	-0.0100708	0.157471
0.0506592	-0.0592041	-0.00854492
-0.0497437	-0.0967407	-0.146484
-0.130615	-0.12146	-0.252075
-0.19043	-0.133972	-0.324402
-0.226746	-0.136108	-0.362854
-0.240784	-0.130005	-0.370789
-0.234985	-0.118408	-0.353394
-0.213623	-0.104065	-0.317688
-0.184021	-0.0897217	-0.273743
-0.151978	-0.0769043	-0.228882
-0.123291	-0.0662231	-0.189514
-0.102234	-0.0570679	-0.159302
-0.0881958	-0.0491333	-0.137329
